cement_opc,scm_flyash,silica_sand,locally_avail_sand,w_b,hrwr_b,perc_of_fibre,aspect_ratio,tensile_strength,density,youngs_modulus,elongation,compressive_strength
1,1.2,0.4,0,0.4,0.636,2,0.026,1600,1300,42.8,6.5,68
1,1.5,0.36,0,0.36,0.0054,2,0.308,3000,1300,42,7,43
1,2.3,0.363,0,0.25,0.012,2,0.2,1600,1300,42.8,6.5,40
1,3.6,0.36,0,0.32,0.0083,1.4,0.462,1560,1300,36.3,7,46
1,1.2,0.26,0,0.35,0.02,2,0.343,1287,1300,31.3,7.3,37
1,1.2,0,0.26,0.35,0.02,2,0.308,1250,1300,22,7,34
1,1.2,0,0.36,0.3,0.01,2.2,0.308,1620,1300,42.8,6,61.45
1,2.2,0.36,0,0.26,0.0037,2,0.308,1610,1300,42.8,6.5,42
1,1.2,0.362,0,3.6,0.0019,2,0.205,1600,1300,66,6.5,65
1,2.2,0.377,0,2,0.0002,2,0.2,1600,1300,41,6,50
1,2.2,0.188,0.188,2,0.0002,2,0.2,1600,1300,41,6,52
1,2.2,0,0.377,2,0.0002,2,0.2,1600,1300,41,6,56
1,3.16,0.4,0,0.5,0.0004,5,0.3,1560,1300,41,6.5,33
1,1.2,0.357,0,0.26,0.0039,2,0.231,1560,1300,40,6.5,61.89
1,1.2,0,0.357,0.26,0.0039,2,0.231,1560,1300,40,6.5,67.21
1,2.2,0.38,0,0.25,1,2,0.2,1600,1300,41,6,43
1,2.2,0,0.38,0.25,1,2,0.2,1600,1300,41,6,39
1,2.2,0.434,0,0.24,0.004,2,0.308,1620,1300,42.8,6.5,46.6
1,2.2,0.36,0,0.3,5.4,2,0.205,1620,1300,42.8,6,62
1,2.2,0.36,0,0.3,5.4,2,0.205,1620,1300,42.8,6,60
1,0.25,0.64,0,0.37,0.0035,1.5,0.211,1600,1300,42,7,62.98
1,0.25,0.64,0,0.37,0.0035,2,0.316,1600,1300,42,7,58.49
1,2.2,1.16,0,0.025,0.06,2,0.308,1600,1300,40,5.7,40
1,3,0,1.45,1.09,0.32,1.75,0.308,1456,1300,40,5.7,35
1,1.29,0,0.69,0.8,0.01,2,0.308,1620,1300,42.8,7,35.3
1,1.5,0.9,0,0.75,0.02,2,0.205,1620,1300,42.8,7,50
1,1.2,0.8,0,0.25,0.012,2,0.2,1500,1300,35,6.5,43.4
1,1.2,0,0.8,0.25,0.012,3,0.205,1600,1300,40,6.5,80.4
1,1.2,0,0.8,0.25,0.012,4,0.205,1600,1300,40,6.5,72.9
1,2.2,1.16,0,0.247,0.012,2,0.308,1600,1300,42.8,6,50
1,3,1.4,0,1.1,0.022,2,0.308,1600,1300,41,6.5,32.7
1,1.2,0.36,0,0.28,0,2,0.3,1600,1300,42,7,32.5
1,1.2,0,0.8,0.215,0.004,2,0.3,1600,1300,41,6.5,64.4
1,2.2,0,1.16,0.247,0.012,2,0.3,1560,1300,42.8,6.5,47.51
1,0.8,0.2,0,0.3,0.0037,2,0.308,1275,1300,16.9,6.5,19.23
1,2.2,0.87,0,0.8,0.013,2,0.462,1600,1300,42,6.5,45
1,4,0.8,1,1.24,0.013,2,0.462,1600,1300,42,6.5,33
1,1.6,0.72,0,0.25,0.0283,2,0.2,1600,1300,42.8,7,68
1,4,0,2,0.22,0.017,2,0.205,1600,1300,41,6,29.98
1,0.33,1,0,0.6,0.0087,2,0.3,1560,1300,37,8,30.05
1,2.2,0,1.2,0.8,0.024,2,0.205,1600,1300,42.8,7,44.6
1,0.8,0.2,0,0.3,0.0012,2,0.3,1586,1300,41,6.7,72
1,1.5,0.9,0,0.75,0.02,2,0.343,1300,1287,31.3,7.3,34
1,1.2,0.363,0,0.145,0.002,0.5,0.245,1600,1300,41,6.5,74
1,1.2,0.363,0,0.145,0.002,1,0.245,1600,1300,41,6.5,77
1,1.2,0.363,0,0.145,0.002,1.5,0.245,1600,1300,41,6.5,87
1,1.2,0,0.363,0.145,0.012,1,0.3,1600,1300,41,6.5,73
1,1.2,0,0.363,0.145,0.012,2,0.3,1600,1300,41,6.5,70
1,1.2,0.8,0,0.6,0.012,1,0.308,1600,1300,42.8,6.5,60.23
1,1.2,0.8,0,0.6,0.012,1.5,0.308,1600,1300,42.8,6.5,63.74
1,1.2,0.8,0,0.6,0.012,2,0.308,1600,1300,42.8,6.5,57.89
1,1.2,0.34,0,0.37,0.012,1,0.158,1317,1300,39,7,43.54
1,1.2,0,0.8,0.35,0.012,2,0.387,1400,1300,35,6.5,42.6
1,1.2,0,0.8,0.25,0.012,2,0.154,1600,1300,42.8,6.5,80
1,0.55,0.19,0,0.27,0.72,2,0.205,1600,1300,42.8,6.5,62.6
1,0.55,0.18,0.18,0.27,0.72,2,0.205,1600,1300,42.8,6.5,59.3
1,0.55,0.18,0.18,0.27,0.72,2,0.205,1600,1300,42.8,6.5,59.3
1,3.09,0.49,0,0.27,0.0018,2,0.205,1620,1300,42.8,6,62.5
1,1.7,0,0.3,0.27,0.0015,2,0.205,1620,1300,42.8,6,58.4
1,1.7,0,0.3,0.27,0.0015,2,0.205,1620,1300,42.8,6,59
1,1.16,0,0.343,0.25,0.0115,2,0.205,1620,1300,42.8,6.5,58
1,1.784,0.416,0,0.27,0.0039,2,0.205,1620,1300,42.8,6,60
1,1.447,0.326,0,0.27,0.0038,2,0.205,1620,1300,42.8,6,64
1,0.1,0,0.8,0.3,0.012,2,0.308,1600,1300,42.8,6,37.28
1,0.2,0,0.8,0.3,0.012,2,0.308,1600,1300,42.8,6,37.28
1,0.3,0,0.8,0.3,0.012,2,0.308,1600,1300,42.8,6,36.956
1,1.6,0.27,0,0.25,0.0108,2,0.2,1600,1600,42.8,7,78
1,2.3,0.2,0,0.27,0.012,2,0.308,1620,1600,42.8,6.5,59.8
1,1.2,0,0.833,0.35,0.89,1.5,0.308,1620,1300,42.8,6,40.61
1,1.2,0.8,0,0.27,0.012,2,0.308,1600,1300,42.8,7,84
1,1.2,0,0.8,0.27,0.012,2,0.308,1600,1300,42.8,7,82
1,1.2,0.4,0.4,0.27,0.012,2,0.308,1600,1300,42.8,7,89
1,2.2,0.36,0,0.3,5.4,2,0.205,1620,1300,42.8,6,69
1,2.2,0.36,0,0.3,5.4,2,0.205,1620,1300,42.8,6,69
1,1.6,0.72,0,0.25,0.0283,2,0.2,1600,1300,42.8,7,75
1,0.33,1,0,0.6,0.0087,2,0.3,1560,1300,37,8,32.56
1,1.2,0.8,0,0.6,0.012,2,0.3,1600,1300,40,6,45.37
1,1.2,0,0.8,0.25,0.012,2,0.154,1600,1300,42.8,6.5,95.5
1,1.16,0,0.343,0.25,0.0115,2,0.205,1600,1300,42.8,6.5,82
1.0,1.7596616097190048,0.12545683731866644,0.18859594412095107,0.33322414950061763,0.5561983377444644,1.2987977523265428,0.23257177847332694,112.0,637.0,56.64815759981868,34.84,57.1328648748363
1.0,1.2544919064610833,0.011389163523878847,0.34968297170150625,0.44814569580244235,0.22243416916242645,0.9835547410951149,0.2611759496531923,112.0,637.0,46.567106178338236,34.84,47.02007554268922
1.0,1.187847161263477,0.06645001899857643,0.2227771924213302,0.38354043837749907,0.2208835093782819,1.8399765392654501,0.3950787076139412,112.0,637.0,43.13582659045394,34.84,42.76047086862403
1.0,1.1878583649788967,0.6453768715457042,0.2330736056276951,0.5533039990705679,0.09729113142270086,1.4814719076371548,0.27865492513555,112.0,637.0,58.01498482908499,34.84,58.622316640810794
1.0,2.9047664797492745,1.1260050856591874,0.2559758100353301,0.4172720585278542,0.3672148642321065,3.680306100325462,0.23416105009432936,112.0,637.0,54.15005180094085,34.84,52.57332784474493
1.0,2.0108200168876253,1.1497356353608859,0.20974137220876551,0.19016869306649517,0.1229183666726659,1.8938833863098006,0.2926901906416691,112.0,637.0,47.060113665350706,34.84,46.87695032333663
1.0,1.0343892268506072,0.13592692052790942,0.20549200556914707,0.30702755889211175,0.12663145402699455,1.5165645823635925,0.28197556520799294,112.0,637.0,53.17212872734716,34.84,54.166407757443224
1.0,1.8006316442812722,0.21445942587629976,0.35258010241051635,1.1612537601528798,0.22452336761361702,1.7865044116879005,0.3592394109514642,112.0,637.0,43.29310649011886,34.84,43.14755711406447
1.0,1.5432778006828327,0.1612216199916635,0.1355234482374671,0.5839228239617686,0.15035275504424578,1.490382723855118,0.27858491550911013,112.0,637.0,48.55990746208641,34.84,50.435922650305386
1.0,0.37094939418656253,0.263277497510149,0.16188697893451587,0.1540135352887082,0.1615761037818365,3.828203339954288,0.28075249353158893,112.0,637.0,63.72107236175065,34.84,63.20981686258316
1.0,0.7317666649973564,0.036312098068140466,0.3133643603312853,0.8042503553088012,0.26757403788560075,1.7256255480781382,0.2780562320840835,112.0,637.0,47.08525466394368,34.84,47.033878894726705
1.0,1.6027592775486983,0.1408979052578107,0.2358003760662043,0.24704995274675204,0.406093685944955,2.513391733342301,0.29253154322446384,112.0,637.0,66.2871239968623,34.84,66.65355279754952
1.0,2.7663593320649134,0.3313660214119385,0.3534921466930261,0.6872434778802168,0.3422692318685436,2.945200823235295,0.399661379294756,112.0,637.0,47.195446976634386,34.84,48.00007621756563
1.0,1.1935729496980294,0.6483878535106753,0.2777893732866989,0.8389224906985836,0.28731249386197855,1.4781554272860185,0.3327800375744372,112.0,637.0,54.97127404014341,34.84,54.028469758996195
1.0,0.9884709746893796,0.3622237108431663,0.14597084187470197,0.46259236440860446,0.46373077059817414,0.858793039805294,0.22111810691034994,112.0,637.0,48.97635857196095,34.84,48.471271593507275
1.0,1.439234888651332,0.20329025101580422,0.24829445191230395,0.2670817489649734,0.278567132966284,1.610368136397186,0.30035064997001654,112.0,637.0,59.61423221919864,34.84,59.889358078127486
1.0,0.9548946133389703,0.06917451146816435,0.29709242757004917,0.3074828547217715,0.2008414780036895,2.73948256027507,0.3048428915745366,112.0,637.0,59.39660306304811,34.84,59.172204906809206
1.0,1.149012019966349,0.6843343704181479,0.26500204144223655,0.6022245013465389,0.17782743989645283,0.9040854190239821,0.30702647949584594,112.0,637.0,55.84123215909967,34.84,56.62596494531296
1.0,1.3448778303797435,0.02763890736594739,0.20287599942499848,0.2492008167725585,0.34447539584239184,2.2819913561873575,0.1998419246708101,112.0,637.0,65.09940129287587,34.84,64.94168614446612
1.0,0.7098161457583071,0.04079050936569988,0.2184407211811282,0.3286701477724127,0.15070541693188727,3.016116672531555,0.2910969661635475,112.0,637.0,67.75948906241831,34.84,68.16137341950868
1.0,2.064712319231221,0.48508180203985213,0.19591332771348896,0.5681856551143689,0.31114360473219627,3.9205751137872524,0.2467707984278397,112.0,637.0,59.921243377182776,34.84,58.975668884056276
1.0,0.6337302779713474,0.5517179063823068,0.14644397876003107,0.3174796960747977,0.21095941728277573,2.7927471888133204,0.19903427916489025,112.0,637.0,68.78260830751702,34.84,68.47907953313828
1.0,0.5867560037882223,0.20537274098078379,0.1389793338625502,0.8946136268172243,0.17189066032268946,2.325667971555846,0.37223698607721933,112.0,637.0,44.109029194588985,34.84,43.93940384004375
1.0,1.5069214778648035,0.00692194483478178,0.2812007719799138,0.26163790675071236,0.17041284881526625,2.2107628637383896,0.26362650458736286,112.0,637.0,59.471158809703674,34.84,59.35255571555359
1.0,1.982871898864525,0.22041552822615637,0.17403106049019948,0.08493810937997281,0.423486110485401,1.1398263647141693,0.2645391419795394,112.0,637.0,57.39967730396459,34.84,57.232931450688824
1.0,1.4866262783857573,0.1701614085602702,0.3017678229778693,0.29793961986082174,0.1702158393667812,1.290567569594985,0.345108619034855,112.0,637.0,53.476626928598996,34.84,53.59394491762643
1.0,1.270565505174731,0.9296245471715076,0.19332369376364003,0.5134039378309084,0.22729287802813702,0.8884394968022871,0.35662930982061164,112.0,637.0,43.72996226873917,34.84,44.16740120528583
1.0,1.1427427351492798,0.4185170648961848,0.1471166637873139,0.6769965575682771,0.20675133370063686,2.0940450176051213,0.26567408517276087,112.0,637.0,56.57803663604091,34.84,56.080286294272874
1.0,1.0398973220281755,0.4322165758738049,0.20758547377885492,0.35845636304557943,0.4438226306465828,2.4951520657300708,0.2833265890828847,112.0,637.0,56.656311873650054,34.84,56.32922044312398
1.0,2.3048846971222106,0.8005667428289783,0.537733159620628,0.38275157416392974,0.5639699305112512,2.1400852594566877,0.2227777832642497,112.0,637.0,57.78067233413213,34.84,58.85061356143597
1.0,1.6109698166565591,0.8272204301492891,0.23377211331349992,0.43292220102886547,0.4116907669195313,2.315715481495385,0.22629503430022438,112.0,637.0,61.42905302195198,34.84,61.43842065966905
1.0,1.0877996822781473,0.3111545229311755,0.30994231548419965,1.0504325952326483,0.21659419777160996,2.903510562355377,0.37993985683740217,112.0,637.0,54.4965153600749,34.84,53.94552561940907
1.0,0.9105917696230945,0.12066380661797854,0.25850717450100524,0.5313286244955195,0.31012592393131694,1.077052967943152,0.28438717174932443,112.0,637.0,44.47311890923436,34.84,44.51305432006854
1.0,1.8635914992659757,0.6161096833485529,0.14205475757411168,0.34364689105513657,0.16583640753193588,2.085009517298308,0.35219545828362736,112.0,637.0,52.58145763144914,34.84,52.498619762884054
1.0,2.2772631930482374,0.5880799759236948,0.42067644903985935,1.2264557454508467,0.2903421836234497,2.2751652068170416,0.2708584477723302,112.0,637.0,52.35623467605826,34.84,51.843405473500454
1.0,2.173851848520887,0.4804603470061845,0.22062170779681853,0.4421306166291695,0.10856009399353081,1.619420242255724,0.3101326320650755,112.0,637.0,54.14634917393151,34.84,53.92294454746383
1.0,0.8209390284559035,0.30970648078012797,0.1472642482144942,0.15576412555274133,0.2939739963407464,0.736899990541295,0.1880073003333877,112.0,637.0,58.58173045907708,34.84,57.00823558950899
1.0,1.1373587329319996,0.21791199466241348,0.199511907858738,0.21977138602678242,0.2542346496742568,1.2438127851252543,0.34340433358427636,112.0,637.0,56.79536729346047,34.84,56.84882196855058
1.0,1.0283648041818385,0.8293833856871639,0.22413860345893202,0.5812143390138984,0.32578079346897687,1.5894147524287923,0.279531341247118,112.0,637.0,54.382971951742746,34.84,55.24525457346683
1.0,1.2212485766995034,0.16949536884140481,0.32240158729815105,0.18079930784271214,0.25974197542985356,2.172764058601146,0.2524252168982355,112.0,637.0,63.41718429023246,34.84,63.68243745884287
1.0,2.054843902527195,0.11324227309094456,0.18712361854324353,0.5639845030575544,0.3967779981911135,2.0560927232620645,0.3254509175539209,112.0,637.0,47.251917879109456,34.84,45.077270472575385
1.0,2.637243034362372,0.20221090895819813,0.6568321417947482,0.2976794544719791,0.1784130762035824,5.0,0.3541349481197961,112.0,637.0,57.44139953640656,34.84,56.92859615505695
1.0,1.6425719527367442,0.09024486173135925,0.16973512271444544,0.7922359768219775,0.3814901299520637,3.1688370255758054,0.256200121019316,112.0,637.0,57.61767131675126,34.84,58.16160808264546
1.0,0.9288910087830696,0.5905937378032121,0.3059746493064772,0.47807023901299023,0.3309630736712463,2.001642413195155,0.21339761639281646,112.0,637.0,60.5004132407465,34.84,62.000210653872934
1.0,1.3283932716024667,0.3100364494024788,0.11441874943311711,0.19392859559506428,0.4506066607375729,2.143618835359231,0.4136738186513909,112.0,637.0,57.01409763036615,34.84,57.6925237585768
1.0,2.886757807237454,0.008379299518543886,0.23128780356765707,0.6944448538674401,0.46600488421188113,3.701603994297014,0.2677198825592355,112.0,637.0,48.10664332007761,34.84,49.15827624678606
1.0,1.4207967898088685,0.42022944611459434,0.2787740019090068,0.8693971217068532,0.16237267168172406,3.769782351413178,0.1805371756246966,112.0,637.0,63.0406653308662,34.84,64.35729418477523
1.0,1.144137425331384,0.21034099145531676,0.15835720998482913,0.23219663495042475,0.33844615495450253,2.371868252582404,0.2552450146917122,112.0,637.0,65.92229257008516,34.84,65.68862304618523
1.0,1.1977569272956197,0.27190145905212876,0.4287671661913852,0.2943021296117794,0.145912426852508,4.611820422943354,0.3122547038034693,112.0,637.0,67.26247431244677,34.84,67.38130286481417
1.0,1.6387435166488626,0.3516860153347757,0.2859962610014482,0.5652077277321318,0.46669805707817374,1.3206932221931198,0.27613455939307435,112.0,637.0,48.63346947263885,34.84,49.309746343282114
1.0,0.8374374913087493,0.14540498047246495,0.2148397151422943,0.6182288395184651,0.1705939937315579,1.9961030089118816,0.2731367663030431,112.0,637.0,47.84291585171838,34.84,47.3838984734853
1.0,1.0144297071374164,0.11160741376957094,0.28482387634813944,1.3189793814432986,0.21612068403244372,5.0,0.2594144043604901,112.0,637.0,55.60781018829239,34.84,54.485279510077724
1.0,2.157680664437104,0.4821201805315464,0.19345266841277622,0.6863965408258619,0.29137925991360714,2.836163480830811,0.25530075734807745,112.0,637.0,59.17533705923408,34.84,59.26349903851933
1.0,1.614875219058741,0.05016154970708224,0.3902190536145662,1.3189793814432986,0.37807328855724837,1.8925348855338762,0.20939576308096028,112.0,637.0,51.52274747591973,34.84,50.69712144746003
1.0,1.4285236209033703,0.07597936184862952,0.3567049067785565,0.44394768056875533,0.31466230549505786,2.12612498290072,0.20844434124174135,112.0,637.0,52.28994170257948,34.84,51.77028639743488
1.0,2.212225007010616,0.1023100433768869,0.27942751809723426,0.5326233776138573,0.3832419187855627,2.204011259412337,0.3061308370278008,112.0,637.0,47.52260909319211,34.84,47.86030158291818
1.0,0.8963023623222877,0.6750510124319961,0.3059393965798928,0.3309399143901128,0.2629828857543335,4.474997284120917,0.3740657225104782,112.0,637.0,67.86121389082,34.84,67.48316042458534
1.0,1.1251715230398418,0.8587727737305696,0.13821719149288295,0.3385594719986572,0.29527227788805493,2.965612225396795,0.2640162854882661,112.0,637.0,58.790469830476574,34.84,58.058316552312796
1.0,1.5877019750038404,0.10101626909597432,0.4235636753027815,0.4732157413321659,0.10803342016630402,1.9493539886069746,0.3877531009021059,112.0,637.0,46.09737016592969,34.84,45.53341938852346
1.0,1.5588433355990896,0.07817058036488952,0.23343915972178667,0.32856975151384327,0.4365460025993559,0.9124834980848403,0.36284902367711647,112.0,637.0,55.84816420248422,34.84,55.86332266261271
1.0,0.5503578112906187,0.3062085898042328,0.35802985647361824,0.12199232904638642,0.22593857205621395,1.4327050083462802,0.2729576345503782,112.0,637.0,60.35307745840861,34.84,60.05477943082915
1.0,1.0650737523238578,0.2099933832322034,0.32244606953345784,0.3150088996472182,0.21074103598699118,2.08225676740981,0.32615537210675277,112.0,637.0,61.31681375323742,34.84,62.503389607712045
